period_ordered,book_id,nikh_period,level,sentence
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,2\.
6. Chun / Roh Transitional,ta_h52,5th National Curriculum (1987–1992),High School,"따라서, 일본은
조선에 대하여 내정 개혁을 강력히 요구하게 되었다."
8. Democratic Consolidation,ta_e71,7th National Curriculum (2002–),Elementary,"---|---|---  
| 1900 |   
⋅ 을사조약 | 1905 | ⋅ 을사조약 이후 의병 운동이 활발해짐."
4. Post-war Authoritarian,ta_h11,1st National Curriculum (1954–1963),High School,"초기의 오우찌(大內氏, Ohuchi)는 조선과 막부와의 중간에서 개인 무역으로 막대한 이를 보았다."
5. Yushin,ta_e32,3rd National Curriculum (1973–1981),Elementary,"한편, 16세기 말엽과 17세기에 들어와 일본과 청나라의 침략이 밀어닥쳐, 우리 민족은 커다란 어려움에 부딪히게 되었다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,⋅ 최명길 \- 조선 중기의 문신.
4. Post-war Authoritarian,ta_e11,1st National Curriculum (1954–1963),Elementary,"그렇게 하려면, 우선 일을 각자의 능력에 맞도록 나누어야 하며, 계획을 세워서 책임감을
가지고 끝까지 일을 하도록 지도하는 것이 필요하다."
4. Post-war Authoritarian,ta_m11,1st National Curriculum (1954–1963),Middle School,보조국사.
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,고려 전기 사회에서 불교와 유학은 어떠한 역할을 하였을까?
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"무과의 실시는, 고려 시대에 비하여 문무 양반 제도가 확립되었음을 뜻하는
것이다."
4. Post-war Authoritarian,ta_e21,2nd National Curriculum (1963–1973),Elementary,"링컨  

우리도 8⋅15 해방 후 민주주의 정신을 익혀 실천하고자 끊임없이 힘써 오고 있다."
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,양명학은 주로 경기 지방을 중심으로 재야의 소론 계열 학자와 불우한 종친 출신의 학자들 사이에서 많이 연구되었다.
4. Post-war Authoritarian,ta_e11,1st National Curriculum (1954–1963),Elementary,우리 나라는 어떤 국제 연합 관계의 기구에 가입하고 있나?
6. Chun / Roh Transitional,ta_h52,5th National Curriculum (1987–1992),High School,"동학의 인간 평등 사상과 사회 개혁 사상은 새로운 사회로의 변화를 갈망하는
농민의 요구에 부합되었고, 포접제(包接制)의 조직은 농민 세력의 규합을 가능하게 하였다."
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,신라에는 이벌찬 이하 17등급의 관리들이 있었다.
6. Chun / Roh Transitional,ta_m52,5th National Curriculum (1987–1992),Middle School,"한때 강화성이
프랑스 군에게 점령당하였으나, 정족 산성을 지키던 양헌수 부대가 이를 물리쳤다."
1. Late Chosŏn / Korean Empire,ta_p72r,Enlightenment & Daehan Empire (1895–1910),Elementary,"봄 2월에 우(禑)가 남쪽 교외에 사냥을 나갔는데 최영(崔瑩)이 울면서 간하기를, “충혜왕(忠惠王)은 여색을 좋아하였으나 반드시 밤에
하였고, 충숙왕(忠肅王)은 돌아다니기를 좋아했으나 모두 때를 잃지 않아 백성의 원망이 없었습니다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"특히, 신라에서는
불교가 왕권과 밀착되어 성행하였다."
1. Late Chosŏn / Korean Empire,ta_p111r,Enlightenment & Daehan Empire (1895–1910),,"세조 4년(1458)

다음 해(1458)에 큰 종을 새로 만들어 도로 위의 종각에 매달고, 새벽과 황혼에 종을 치도록 하였다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"인류 사회의 아(我)와 비아(非我)의 투쟁이 시간에서 발전하여 공간까지 확대하는 심적 활동의 상태의 기록이니, 세계사라
하면 세계 인류의 그리 되어 온 상태의 기록이며, 조선사라 하면 조선 민족이 그리 되어 온 상태의 기록이니라."
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,"금강산도  
정선 그림."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"그리고 신성 지역으로 소도가 있었는데, 이 곳에서 천군은 농경과 종교에 대한
의례를 주관하였다."
2. Colonial,ta_p41r,Japanese Colonial (1910–1945),,충렬왕 【제25대】 13년에 태어났다.
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,전쟁 포로⋅빚진 사람⋅귀화인⋅죄인 등은 노예가 되어 최하 계급을 이루었다.
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"이와 함께 지방 호족들에게 사신을 파견하여
회유하였으므로, 다수의 지방 세력이 고려 편으로 들어왔다."
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"호족 세력에 억눌림을
당하던 왕권은 광종 때에 이르러 비로소 새로운 전기를 맞게 되었다."
6. Chun / Roh Transitional,ta_m51,5th National Curriculum (1987–1992),Middle School,"이러한 농민과 천민의 저항은 무신 정권의 수립
직후부터 약 30년간 전국적으로 계속되었다."
7. Early Democratic,ta_m61,6th National Curriculum (1995–2001),Middle School,"이 무렵, 신라는 세력이 더욱 약해져서 겨우 경주 일대를
지배할 따름이었다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"이 때 춘향이는
비몽사몽간에 서방님이 오셨는데, 머리에는 금관이요, 몸에는 홍삼이라."
4. Post-war Authoritarian,ta_h11,1st National Curriculum (1954–1963),High School,"즉 숙종
39년(1712)에는 청인 목극등(穆克登)이 와서 조선의 북극고도(北極高度)를 측정하였으나, 영조 때에는 모두 한양(漢陽) 중심으로
측정하여, 시각을 서울 중심으로 잡아, 해가 뜨고 지는 시각을 위시하여, 일월식의 시각 방위의 관측법을 세웠다."
4. Post-war Authoritarian,ta_e11,1st National Curriculum (1954–1963),Elementary,"사립 학교를 세워서
많은 제자를 길러 내니, 다른 11명의 학자도 각각 학교를 세워 교육을 하였다."
1. Late Chosŏn / Korean Empire,ta_p72r,Enlightenment & Daehan Empire (1895–1910),Elementary,우(禑)가 이인임의 집에 갔다가 총애하게 되었다.
5. Yushin,ta_h32,3rd National Curriculum (1973–1981),High School,"인도의 통일

기원전 5세기경에 인도는 여러 나라로 분열되어 있었다."
1. Late Chosŏn / Korean Empire,ta_p23r,Enlightenment & Daehan Empire (1895–1910),Public schools,김일경(金一鏡) 잔당들의 흉모가 그치지 않더니 이때에 이르러 발각되었다.
7. Early Democratic,ta_e61,6th National Curriculum (1995–2001),Elementary,선생님께서는 다음과 같이 이야기해 주셨다.
1. Late Chosŏn / Korean Empire,ta_p23r,Enlightenment & Daehan Empire (1895–1910),Public schools,"【순조 대왕의 대통을 이었다.】

○ 임자도(荏子島)에 안치(安置)한 죄인 조병현(趙秉鉉)을 사사(賜死)하고,
서상교(徐相敎)·신관호(申觀浩)·이응식(李應植)·김건(金鍵)·이능권(李能權)을 귀양보냈다."
6. Chun / Roh Transitional,ta_m52,5th National Curriculum (1987–1992),Middle School,"또,
원양 어선들도 5대양을 누비며 어업 활동을 활발히 펴 나갔다."
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,"또한 자연 과학의 연구에도 발을 들여 놓게 되었으나 유학에 눌리어
길게 가지 못하고 말았다."
8. Democratic Consolidation,ta_e71,7th National Curriculum (2002–),Elementary,민주적인 헌법을 요구하는 정치 운동이 일어난 것이다.
6. Chun / Roh Transitional,ta_h42,4th National Curriculum (1981–1987),High School,"그 후, 일본의 침략은 더욱 가중되었고,
이에 대하여 우리 민족은 의병의 항전과 애국 계몽 운동을 전개하였다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"1970년대 중반에 주식인 쌀의 자급은 달성되었으나, 오히려 밀, 옥수수, 콩 등의 수입은 더욱 늘어났다."
6. Chun / Roh Transitional,ta_m51,5th National Curriculum (1987–1992),Middle School,"건국 후, 사대부들은 국민의 생활을 안정시키고 부국 강병을 꾀하는 등 나라의 힘을 키우기 위해 노력하였다."
6. Chun / Roh Transitional,ta_m51,5th National Curriculum (1987–1992),Middle School,"이어, 백제를
공격하여 한강 이북의 땅을 점령하고, 신라를 침략해 온 왜를 물리쳤다."
6. Chun / Roh Transitional,ta_h52,5th National Curriculum (1987–1992),High School,"농촌에서는 대체로 1년을 계약 기간으로 하는 품팔이 노동력이 많았다.4) 부농층의 대두와 임노동자의 출현은 이 시기의 농민
분화 현상을 뜻하는 것이다."
1. Late Chosŏn / Korean Empire,ta_p72r,Enlightenment & Daehan Empire (1895–1910),Elementary,"그러나 왕이 듣지 않으므로 이조년이 탄식하며 말하기를, “왕의 잘못을 바로잡지 못하니 왕을 섬기는
도리가 아니다.”라고 하고 다음 날 말을 타고 고향으로 돌아갔다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"이리하여 일본과 영국 두 나라는 러시아의 횡폭(橫暴)한 태도를 묵과할 수 없어, 함께 청나라에 경고하여 러시아의
교섭을 거절하게 하였다."
5. Yushin,ta_h32,3rd National Curriculum (1973–1981),High School,"이와는 반대로, 공장에서 직조된 면포와 비단들은 국내뿐 아니라 외국에까지 비싸게 매매되었다."
2. Colonial,ta_p41r,Japanese Colonial (1910–1945),,"을지문덕의 살수에서의 승리

살수의 전투는 영양왕 23년 가을 7월에 있었는데 수나라 장수 우문술(宇文述), 우중문(于仲文) 등은 대군을 이끌고 와서 압록강의 서쪽에서
마주했다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"옛날에는 여가를 어떻게 즐겼으며, 오늘날에는 여가를 어떻게 즐기는지 알아보자."
1. Late Chosŏn / Korean Empire,ta_p21r,Enlightenment & Daehan Empire (1895–1910),Public schools,"설지(薛支)가 왕에게 말하기를, “위나암성은 산수가 깊고 험하며
토지가 오곡을 가꾸기에 마땅합니다.” 하자 도읍을 옮기면 백성들에게 이로울 뿐만 아니라 전쟁도 면할 수 있으므로 왕이 마침내 천도하였다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"태조는 불교를 적극 지원하는 한편, 유교 이념과 전통 문화도 함께 존중하였다."
7. Early Democratic,ta_m62,6th National Curriculum (1995–2001),Middle School,"청화 백자는 주로 항아리, 술병, 꽃병, 연적, 필통
등 실용적인 것들이 많았다."
1. Late Chosŏn / Korean Empire,ta_p13r,Enlightenment & Daehan Empire (1895–1910),Public schools,2월에 왕이 승하하였다.
1. Late Chosŏn / Korean Empire,ta_p72r,Enlightenment & Daehan Empire (1895–1910),Elementary,"최우가 몽고의 환란을 피하고자 강화로
천도하였다."
6. Chun / Roh Transitional,ta_e52,5th National Curriculum (1987–1992),Elementary,"적진을
빠져나온 을지문덕 장군은 시를 써 보내어 적장의 어리석음을 비꼬았다."
6. Chun / Roh Transitional,ta_h52,5th National Curriculum (1987–1992),High School,그러나 미⋅소 간의 미묘한 이해 관계의 대립으로 인하여 우리 나라의 독립은 곧바로 실현되지 못하였다.
6. Chun / Roh Transitional,ta_h41,4th National Curriculum (1981–1987),High School,경남 합천 해인사 소장.
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"(20조) ‘고려사’

도병마사

고려 후기에 도평의사사로 개편되면서 국정 전반에 걸친 중요 사항을 담당하는 최고 정무기구로 발전하였다."
1. Late Chosŏn / Korean Empire,ta_p111r,Enlightenment & Daehan Empire (1895–1910),,"숙종 43년(1717)

정유 43년(丁酉四十三年, 1717)에 문원공(文元公) 김장생(金長生)을 문묘(文廟) 서무(西廡)에 종사(從祀)하였다."
1. Late Chosŏn / Korean Empire,ta_p82r,Enlightenment & Daehan Empire (1895–1910),,"적군이 패해 경상도로 달아나다

이시다 미츠나리[石田三成] 등이 심유경(沈惟敬)의 말을 도요토미 히데요시[豊臣秀吉]에게 보고하였다."
6. Chun / Roh Transitional,ta_h52,5th National Curriculum (1987–1992),High School,"그러나 그 내면적인 의도는, 일본군의 조선 주둔의 명분을 찾고, 나아가서 청과의 전쟁 구실을 만들어 청의 세력을
조선에서 물리친 후, 조선에 대한 내정 간섭을 통하여 경제적 이권 탈취는 물론, 조선 침략의 기반을 닦으려는 것이었다."
1. Late Chosŏn / Korean Empire,ta_p82r,Enlightenment & Daehan Empire (1895–1910),,"정사공신(靖社功臣)을 책록하다

또 의병을 일으킬 당시의 일정 부분과 계략은 모두 이괄(李适)의 공이었다."
4. Post-war Authoritarian,ta_h21,2nd National Curriculum (1963–1973),High School,"이
밖에도 서울에는 미곡, 장물 및 우마를 교역하는 허시가 있었다."
1. Late Chosŏn / Korean Empire,ta_p71r,Enlightenment & Daehan Empire (1895–1910),Elementary,"이에 앞서 왕이 귀법사(歸法寺)에 도망가 이르렀는데, 얼마
후에 강조가 왕과 태후를 충주(忠州)로 추방하였다."
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"그는 농업 문제뿐만 아니라 상공업의 진흥에도 비상한 관심을 가져, 수레와 선박의 이용이나 화폐 유통의 필요성을 강조하였으며, 이와 병행하여
양반 문벌 제도의 비생산성을 극복하려고 노력하였다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,그러므로 대비는 3년의 상(喪)에 상복을 입지 않으면 안 됩니다.”라고 하였다.
1. Late Chosŏn / Korean Empire,ta_p82r,Enlightenment & Daehan Empire (1895–1910),,"전주(全州)도 함락되다

이때 진우충(陳愚衷)이 전주에 있었는데 양원(楊元)이 급박함을 알렸으나 원군을 보내지 않다가 남원(南原)의 함락 소식을 듣고 크게 두려워하여
도주하자 전주 역시 함락되었다."
6. Chun / Roh Transitional,ta_m52,5th National Curriculum (1987–1992),Middle School,임시 정부는 국토를 회복한 후 1년 안으로 국회를 소집함.
6. Chun / Roh Transitional,ta_m42,4th National Curriculum (1981–1987),Middle School,"동학은, 원래 외국 세력을 배척하고 현실 사회에 대한 개혁을 바라는 성격을 띤 종교였으므로, 당시 농촌 사회에 번져 가던 외세 배척 정신과
내정 개혁을 요구하는 움직임과 결부되어, 급속도로 농촌 사회에 그 세력을 펼 수 있었다."
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"인륜을 파괴하는 강상죄는 반역죄와 마찬가지로 엄중하게 다루었으며, 부모에 대한 효행이나 남편에
대한 부인의 정절을 크게 장려하였다."
6. Chun / Roh Transitional,ta_m42,4th National Curriculum (1981–1987),Middle School,"동학 운동

동학의 교세가 커지자, 교도들은 교조 최제우가 사형당한 것은 억울한 일이므로 그 죄명을 벗겨 달라는 교조 신원 운동을 폈다."
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,"갑오 경장의 의의는 무엇이며, 어느 정도 성공했는가?"
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,이 소란의 과정에서 왕후(王后) 민씨 【갑오년 12월 이후에는 왕후라고 불렀다.】 는 불행히 세상을 떠났다.
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,스파르타는 농업을 주로 하는 도시 국가로서 해군이 강한 아테네와는 늘 경쟁 상태에 있었다.
1. Late Chosŏn / Korean Empire,ta_p21r,Enlightenment & Daehan Empire (1895–1910),Public schools,"처음 당나라 군대가 요동에 이르러 안시성을
공격하며 60일 동안 대치하였지만 함락시키지 못하였다."
7. Early Democratic,ta_m61,6th National Curriculum (1995–2001),Middle School,"또, 군장은 하늘에 제사 지내는 일 등 종교적 의식도 주관하여 더욱 권위를 가지게 되었다."
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"국가는 농민들에게 공전의 경작권을 보장해
주고, 이들로부터 조를 받았다."
6. Chun / Roh Transitional,ta_m42,4th National Curriculum (1981–1987),Middle School,서민층과 부녀자층의 창조적 문화 활동은 어떠하였을까?
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,"말할 나위도 없이, 우리가 역사를 배우는 것은, 우리 역사에 나타난 영화와 슬기와 고난을 더듬어 봄으로써 보다 새롭고 보다 밝은 내일을
창조하기 위해서이다."
3. U.S. Military Government,ta_p51r,US Military Govt & Syllabus Period (1945–1954),,"학풍의 변천

재래의 조선학자의 학문은 중국의 경학·문학 특히 주자학에만 치우쳐 오랫동안 그 폐단을 벗지 못하더니 왜란, 호란을 겪고 또 외래문물의 자극을
받은 후로는 비로소 자아에 눈뜨기 시작하였다."
1. Late Chosŏn / Korean Empire,ta_p71r,Enlightenment & Daehan Empire (1895–1910),Elementary,"고려
왕이 구원병을 보냈으나 도달하기 전에 견훤이 갑자기 왕도(王都)에 들어가니 그때에 왕은 포석정(鮑石亭)에 나아가 술을 마시며 노래를 하다가
견훤의 병사가 다다른 것을 듣고 크게 놀라서 곧 부인과 함께 성 남쪽 이궁(離宮)으로 달려가 숨었다."
5. Yushin,ta_h32,3rd National Curriculum (1973–1981),High School,"그는 정치를 종교나 윤리로부터 분리시키고, 정치적 지도자는 경우에 따라 목적을 위하여 수단과 방법을 가릴 필요가 없다고 주장하였다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"그런데 종래와 같이 청나라를 섬기려는 사람들을
사대당(事大黨)이라고 불렀다."
1. Late Chosŏn / Korean Empire,ta_p72r,Enlightenment & Daehan Empire (1895–1910),Elementary,"이때에 경대승이 정중부
등에게 분개하고 원한이 있었으나 송유인 등을 두려워하여 감히 드러내지 못하고 있었다."
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"동예 군장의 동제 도장  

옥저는 어물과 소금 등 해산물이 풍부하였고, 토지가 비옥하여 농사가 잘 되었다."
1. Late Chosŏn / Korean Empire,ta_p23r,Enlightenment & Daehan Empire (1895–1910),Public schools,"기원후 433년 갑신 [순조 24년]

명하여 정주(定州) 육의사사(六義士祠)에 사액하고, 충렬공 정시(鄭蓍)를 합향(合享)하였다."
7. Early Democratic,ta_e61,6th National Curriculum (1995–2001),Elementary,"◉ 사회적인 면

⋅ 양반과 평민의 계급을 없앤다."
6. Chun / Roh Transitional,ta_m52,5th National Curriculum (1987–1992),Middle School,"마침내 러시아와 일본의 세력 대립은 러⋅일 전쟁을
불러일으켰다."
8. Democratic Consolidation,ta_e71,7th National Curriculum (2002–),Elementary,"선택 학습

선택 1."
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,"삼국의 대외 항쟁과 통일

〔학습 개요〕

고구려는 한반도의 울타리 역할을 하여 중국 세력의 침입을 막아, 남쪽의 백제와 신라의 터전을 굳히게 해 준 나라이다."
5. Yushin,ta_h32,3rd National Curriculum (1973–1981),High School,4\.
4. Post-war Authoritarian,ta_m11,1st National Curriculum (1954–1963),Middle School,골각기.
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"그리하여 선종의 각
파들은 지방의 호족 세력과 관계를 가지면서 각 지방에 본거지를 두고 여러 종파를 이루었는데, 그 중에서 유력한 것이 9산이었다."
4. Post-war Authoritarian,ta_e11,1st National Curriculum (1954–1963),Elementary,2.
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"조선 왕조를 개창하면서 신진 사대부들은 전통적인 유학과 불교, 도교의 폐단을 시정하고자 성리학을 새로운 정치 지도 이념으로 내세웠다."
1. Late Chosŏn / Korean Empire,ta_p11r,Enlightenment & Daehan Empire (1895–1910),Public schools,기자(箕子) 기묘년에 일어나 기준 정미년에 이르기까지 모두 929년이다.
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,"임금의 인상, 노동 조건의 개선, 기업가의 경영
합리화와 노동자에 대한 인격적 대우 등을 강력하게 주장하는 노동자의 시위가 거세게 일어났다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"이런 무덤은 만주
집안, 평안도 용강, 황해도 안악 등지에 널려 있다."
6. Chun / Roh Transitional,ta_e42,4th National Curriculum (1981–1987),Elementary,"발해의 돌사자 머리 조각  

당나라에서는 그 문화를 찬양하여 동쪽의 문화국이라는 뜻으로 해동 성국이라 불렀다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"이들은 노비를 사기도 하였지만, 주로 자신이 소유한
노비가 출산한 자녀는 노비가 되는 법에 따라 노비 수를 늘리기도 하고, 자신이 소유한 노비를 양인 남녀와 혼인을 시켜 늘리기도 하였다."
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"씨름도(각저총)  

한편, 불상은 중국 북조의 영향을 받았으나, 다른 미술품에서와 같이 고구려의 개성을 지니고 있다."
1. Late Chosŏn / Korean Empire,ta_p82r,Enlightenment & Daehan Empire (1895–1910),,"태조가 정종(定宗)에게 왕위를 물려주다

이에 태조(太祖)께서 정종께 왕위를 물려주시고 상왕(上王)이 되셨다."
6. Chun / Roh Transitional,ta_h52,5th National Curriculum (1987–1992),High School,"즉, 수레와 선박의 이용이나 화폐 유통의
필요성을 강조하였으며, 이와 병행하여 양반 문별 제도의 비생산성을 비판하였다."
1. Late Chosŏn / Korean Empire,ta_p82r,Enlightenment & Daehan Empire (1895–1910),,"적병이 물러나 경상도 남해안에 주둔하다

이에 앞서 도요토미 히데요시[豊臣秀吉]가 명군이 강함을 두려워하였다."
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"이것은 경험에 의한 인문 지리적인 지식을 활용하려는 학설인데,
뒤에 예언적인 도참 신앙과 결부되었다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,그들은 신라의 주와 현을 무찌르고 서울(경주)의 서쪽 모량리에 이르러 민가를 약탈하였다.
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"다시 묻기를 ""그렇다면 서도(천주교)로써 사람을 가르쳐야 합니까?” 하니, 대답하기를 “아니다."
6. Chun / Roh Transitional,ta_h42,4th National Curriculum (1981–1987),High School,"실학자들은 현실 문제의
해결을 목표로 사회의 개혁과 제도의 개편을 주장하였다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,아!
1. Late Chosŏn / Korean Empire,ta_p72r,Enlightenment & Daehan Empire (1895–1910),Elementary,○ 이때 홍건적(紅巾賊)이 일어나서 천하에 널리 퍼져 있었다.
7. Early Democratic,ta_m61,6th National Curriculum (1995–2001),Middle School,"당군을 격퇴시킨 대조영은 길림성 돈화시 동모산 근처에
도읍을 정하고 나라를 세워 ‘진’이라 하였다."
6. Chun / Roh Transitional,ta_m52,5th National Curriculum (1987–1992),Middle School,"개항 후 유럽 여러 나라를 시찰하고 귀국한 유길준은, 새로운 문체로 서유견문을
지어 서양의 문물을 소개하였다."
2. Colonial,ta_p41r,Japanese Colonial (1910–1945),,"마한에는 50여 개 나라들이 있었고, 진한과
변한에는 각각 12개 나라들이 있었다고 한다."
5. Yushin,ta_h32,3rd National Curriculum (1973–1981),High School,이슬람 교와 이슬람 인의 대외적 영토 확장과는 어떤 관계가 있는가?
3. U.S. Military Government,ta_p61r,US Military Govt & Syllabus Period (1945–1954),,① 동·서 여진과의 관계는 어떠하였으며 윤관은 어떻게 여진을 정벌하였는가?
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,"백제에서는
유교 경전의 내용을 가르치는 오경 박사와 천문, 역법을 가르치는 역박사가 있었고, 또 의학을 가르치는 의박사도 있었다."
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"당시 대당 수출품은 베, 해표피,
인삼, 금⋅은 세공품 등이었고, 수입품은 비단과 책 및 귀족들이 필요로 하는 사치품들이었다."
2. Colonial,ta_p41r,Japanese Colonial (1910–1945),,4년 여름 4월에 처음으로 병부(兵部)를 두었다.
6. Chun / Roh Transitional,ta_h42,4th National Curriculum (1981–1987),High School,"판소리는 광대들이 청중을 상대로 소설의 줄거리를 가창(歌唱)과 연극으로
연출하여, 읽는 소설보다 훨씬 흥미를 돋우었는데, 춘향가, 심청가, 흥보가, 토끼타령, 적벽가, 가루지기타령 등은 가장 인기 있는 판소리
사설이었다."
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,미국을 비롯한 자유 우방들도 물심 양면으로 우리를 지원하였다.
4. Post-war Authoritarian,ta_m11,1st National Curriculum (1954–1963),Middle School,"이리하여 학문이 자못 발달하고, 많은 학자가 나왔는데, 그 중 유명한 이는
강수(强首), 설총(薛聰), 김대문(金大問), 최치원(崔致遠) 등이다."
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"양 계에 배치된 주진군은 초군, 좌군, 우군으로 구성된 국방의 주역을 담당한
상비군으로서, 그 최고 지휘관을 도령이라 하였다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"그 밖에도 더욱 많은 분파들이 생겼는데 이들 가운데 후세까지 존속한 것은 노론, 소론, 남인, 북인 【소북】 의 네
파로서, 그들을 사색(四色)이라고 불렀고, 한 파에 속한 사람은 다른 파에 속한 사람과 오늘날까지도 여전히 서로 혼인을 하지 않는 것이
습관으로 되어 있다."
4. Post-war Authoritarian,ta_h21,2nd National Curriculum (1963–1973),High School,이 조약의 성립으로 우리 나라는 오랜 쇄국의 역사에서 개국의 새 시대를 맞이하게 되었다.
6. Chun / Roh Transitional,ta_m51,5th National Curriculum (1987–1992),Middle School,"고려는 세 차례에 걸친 거란의 침입을 격퇴하였으며, 전후에 개경의 나성과 천리 장성을 쌓는 등 북방 민족의 침입에 대비하였다."
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,고려 사회의 통치 질서는 어떻게 정비되어 갔는가?
8. Democratic Consolidation,ta_e71,7th National Curriculum (2002–),Elementary,"[3] 한강의 기적에서 통일로

   ● 1960년대 이후 ‘한강의 기적’이라 불린 경제 성장을 이루기까지 국민과 정부는 어떠한 노력을 하였는지 조사해 보자."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"그
후 대한민국 임시 정부는 몇 차례에 걸쳐 헌법을 개정하면서 변천하였으며, 김구가 주석이 되어 광복이 될 때까지 임시 정부를 이끌었다."
2. Colonial,ta_p32r,Japanese Colonial (1910–1945),,"총독의 새로운 정치

메이지 43년 10월에 자작(子爵) 【후에 백작(伯爵)이 됨】 데라우치 마사다케(寺內正毅)가 처음으로 조선총독으로 부임했다."
6. Chun / Roh Transitional,ta_h41,4th National Curriculum (1981–1987),High School,"이에, 태종 때부터는 요동 수복 운동을 보류한 채 여진족에 대한
토벌과 북방 사민(徙民) 정책을 강화함으로써 대명 관계가 호전되었다."
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"정치적 안정과 사회⋅경제적 기반 위에서, 민족 의식의
각성과 실용적인 학문의 숭상으로 민족 문화가 크게 창달되었다."
4. Post-war Authoritarian,ta_h11,1st National Curriculum (1954–1963),High School,"불교의 숭신(崇信)으로 가람(伽藍)의 경영은 헤아릴 수 없이 번다하였으니, 불사(佛寺)의 개창(開創), 또는 재흥(再興)된 것을 하나 하나
가리기 어려웠다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"그러나 박정희 정부는 노동자의 노동
3권을 크게 제한하여 노동 운동을 탄압하였다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,서군(西軍)의 장병들은 방어전에 매우 힘썼지만 이기지 못하였다.
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"그가 지은 계원필경과 비문의 일부가 오늘까지 전해
오고 있다."
4. Post-war Authoritarian,ta_e11,1st National Curriculum (1954–1963),Elementary,"이와 같이,

만주주의란, 서로 의견이 다른 것을 의미한다."
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,"발해의 영토  

정치와 문화

발해는 광대한 영토를 다스리기 위하여 중앙과 지방에 행정 기구를 설치하였다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"또, 전세를 확보하기 위하여 토지
조사 사업도 서둘렀다."
5. Yushin,ta_e31,3rd National Curriculum (1973–1981),Elementary,인쇄술이나 활자의 발달은 사람들의 생각을 널리 전달하여 주는 데 큰 힘을 가졌다.
