period_ordered,book_id,nikh_period,level,sentence
7. Early Democratic,ta_m61,6th National Curriculum (1995–2001),Middle School,"고려의 왕건은 견훤이나 궁예와는 달리 확고한 토착 세력 기반을 가지고 있었으며, 또 군대의 규율이 엄격하여 민폐를 끼치지 않았으므로 곳곳에서
환영을 받았다."
1. Late Chosŏn / Korean Empire,ta_p71r,Enlightenment & Daehan Empire (1895–1910),Elementary,"살인자는 죽음으로써 대가를 치르게 하고 상해를
입힌 자는 곡식으로써 배상하고, 도둑질한 자는 남녀가 그 집에 들어가서 노비가 되도록 하고, 재물을 바쳐 노비에서 풀려나고자 하는 자는 한
명당 50만인데, 비록 풀려나서 양민이 되더라도 풍속이 오히려 수치라 하여 결혼하기가 어려웠다."
1. Late Chosŏn / Korean Empire,ta_p21r,Enlightenment & Daehan Empire (1895–1910),Public schools,다시 연우에게 찾아가니 연우는 맞아들이며 음식을 대접하였다.
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"그러나 고려가 요와의 적극적인 외교 관계를 수립하지 않자, 요의 성종은 40만 대군을 이끌고 다시 침입해 왔다."
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,"홍건적의 침입으로 한때 개경이 함락되어 공민왕이 복주(안동)까지 피난하였으나, 정세운, 이방실, 이성계 등이 이들을 물리쳤다."
6. Chun / Roh Transitional,ta_m52,5th National Curriculum (1987–1992),Middle School,"19세기의 민란  

천주교의 수용과 박해

고통에 시달리던 농민들은 나름대로 살 길을 모색하는 한편, 정신적으로 위안을 받기 위하여 천주교, 동학 등 새로운 종교에 관심을 가지게
되었다."
1. Late Chosŏn / Korean Empire,ta_p91r,Enlightenment & Daehan Empire (1895–1910),Elementary,"그 사내가 대답하기를 ‘예부터 왕이
노성을 가까이하면 흥하고 요염을 가까이하여 좇으면 망하였으니 제가 어찌해야 하겠습니까?’라고 하니 꽃의 왕이 사죄하면서 ‘내가
잘못하였다.’라고 하였습니다.” [설총의 이야기를 듣고 나서] 왕이 근심하며 “그대의 풍자[寓言]는 매우 간절하다.”라고 말하고
설총(薛聰)을 발탁하여 높은 관직을 주었다."
5. Yushin,ta_h32,3rd National Curriculum (1973–1981),High School,"윌슨의 14개 조항의 내용 중에서 우리 나라에 영향을 끼친 것은 무엇이며, 구체적으로 어떻게 영향을 끼쳤는지 이야기하여 보자."
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"이들 항일 단체들은 3⋅1 운동 발발 후, 일제와의 독립 전쟁을 목표로 서둘러 편제를 정비하고 무장을 갖추어 압록강과 두만강을 건너와서 일제
군경과의 항전을 활발히 전개하였다."
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,이 일을 추진하는 과정에서 전통 문화에 대한 새로운 인식이 다져지고 학문적으로도 많은 성과를 거두었다.
4. Post-war Authoritarian,ta_h21,2nd National Curriculum (1963–1973),High School,"정조가 이덕무, 박제가, 유득공 등 서민 출신을 규장각 검서관으로 등용한 후, 서민 출신 문인들의 활동이 활발하였다."
1. Late Chosŏn / Korean Empire,ta_p23r,Enlightenment & Daehan Empire (1895–1910),Public schools,"강홍립 등은
항복하였으나 좌영장(左營將) 김응하(金應河)는 죽었다."
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,"귀족과 승려들은 특권을 가지고 넓은 영토를 소유하여 사치한 생활을 하고 있었으나, 일반 농민과 상인들은 과중한 세금과 간섭으로
국왕과 특권 계급에 대한 불만이 날로 커 갔다."
1. Late Chosŏn / Korean Empire,ta_p13r,Enlightenment & Daehan Empire (1895–1910),Public schools,"기원후 302년

계유(癸酉) 19년이다."
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,"일본의 문호 개방

18세기 중엽 외국의 선박이 일본과의 통상을 희망하고 일본 근해에 나타났으나, 토쿠가와 바쿠후는 쇄국 정책을 고집하였다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"미술계에서는 전통 회화의 창조적 발전이 이루어졌고, 서양식 유화가 새로운 미술 장르로 자리잡았다."
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"후기의 대표적 석탑으로는 경천사 10층 석탑이 유명한데, 이는 원의 영향을
받은 이색적인 석탑 형태로, 조선 시대에 만들어진 원각사지 10층 석탑의 원형이 되었다."
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,공장은 관영이나 민영의 수공업장에서 작업하였다.
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"이에 앞서 태조는 고려 마지막 왕인 공양왕(恭讓王) 요(瑤) 【공양은 추존호(追尊號)】 를 강원도에 머물게
하였으며, 그의 일족은 강화(江華)와 거제(巨濟)의 두 섬에 흩어져 살게 하였다."
